Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 220 files,  7049 codes, 40 comments, 1349 blanks, all 8438 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\get-value.ts                               | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\index.ts                                   | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\remove-value.ts                            | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\set-value.ts                               | TypeScript         |         29 |          0 |          4 |         33 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\value-encoding.ts                          | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\buildPortClass.ts                                 | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\decode-encode.ts                                  | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\getPortKind.ts                                    | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\index.ts                                          | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\isPortMagnet.ts                                   | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\node-ports.ts                                     | TypeScript         |         21 |          0 |          8 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\applyDependencyDefinitions.test.ts             | TypeScript         |         65 |          0 |         11 |         76 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\applyDependencyDefinitions.ts                  | TypeScript         |         41 |          0 |          8 |         49 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\resolveDependencyOrder.test.ts                 | TypeScript         |         28 |          0 |          8 |         36 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\registry\resolveDependencyOrder.ts                      | TypeScript         |         40 |          0 |          8 |         48 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\constants.ts                                          | TypeScript         |         26 |          0 |          8 |         34 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\index.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\simulation.ts                                  | TypeScript         |          5 |          0 |          3 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\types.ts                                       | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\events\workspace-session.ts                           | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\index.ts                                              | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\node-kind.ts                                          | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\base.ts                                    | TypeScript         |         89 |          0 |          8 |         97 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\index.ts                                   | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\and.ts                               | TypeScript         |         32 |          0 |          3 |         35 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\buffer.ts                            | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\index.ts                             | TypeScript         |         38 |          0 |          5 |         43 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\lamp.ts                         | TypeScript         |         75 |          0 |          2 |         77 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\svg.ts                          | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nand.ts                              | TypeScript         |         33 |          0 |          3 |         36 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nor.ts                               | TypeScript         |         31 |          0 |          3 |         34 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\not.ts                               | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\or.ts                                | TypeScript         |         31 |          0 |          3 |         34 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\toggle.ts                            | TypeScript         |        124 |          0 |          2 |        126 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xnor.ts                              | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xor.ts                               | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\types.ts                                   | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\types.ts                                              | TypeScript         |         77 |          0 |         20 |         97 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\factory.ts                                     | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\index.ts                                       | TypeScript         |         13 |          0 |          1 |         14 |
