"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "SCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\bringToFront.ts", "TypeScript", 0, -18, 0, 0, 0, 0, -1, -4, -23
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\nodeInteraction.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\index.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 2, 56
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\edgeLifecycleCache.test.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 4, 53
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\edgeLifecycleCache.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 3, 9, 46
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\nodeLifecycleCache.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 1, 5, 22
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\nodeVisualLifecycle.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\simulationNodeVisual.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\_edgeSignals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -17, -4, -21
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\edgeEditTools.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 1, 12, 73
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\edgeLifecycleCachePlugin.ts", "TypeScript", 0, -16, 0, 0, 0, 0, -1, -4, -21
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\index.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\selection.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\index.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, -2, -8
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerNodes.ts", "TypeScript", 0, -25, 0, 0, 0, 0, 0, -3, -28
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerPortLayouts.ts", "TypeScript", 0, -30, 0, 0, 0, 0, 0, -7, -37
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\UIEngineProvider.tsx", "TypeScript JSX", 0, 0, -16, 0, 0, 0, 0, -4, -20
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\createUIEngine.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 14, 127
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\index.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\types.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 10, 64
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\cache\api.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\cache\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\cache\types.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\cache\useEdgeStateMap.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 11, 48
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\cache\usePortStateMap.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 16, 81
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_bindings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -32, -3, -35
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_signals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -34, -4, -38
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\api.ts", "TypeScript", 0, 13, 0, 0, 0, 0, -7, 4, 10
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\event-bus\api.test.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 18, 80
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\event-bus\api.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 14, 76
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\event-bus\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\event-bus\types.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\index.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 9, 92
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\node-visual\api.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 26, 122
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\node-visual\default-nodes.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\node-visual\executor.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 19, 113
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\node-visual\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\node-visual\lib\attrs.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
