Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useCloseTab.ts                                                                | TypeScript         |        -29 |         -3 |        -12 |        -44 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useOpenTab.ts                                                                 | TypeScript         |        -39 |          0 |        -10 |        -49 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useUpdateTabTitle.ts                                                          | TypeScript         |         -2 |          2 |          0 |          0 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\processes\workspace-sync\bridge.ts                                                          | TypeScript         |       -150 |          0 |        -37 |       -187 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\processes\workspace-sync\index.ts                                                           | TypeScript         |         -1 |          0 |         -1 |         -2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\applyEngineEvents.ts                                      | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\graph-runtime\createGraphRuntime.ts              | TypeScript         |         46 |          0 |          5 |         51 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\graph-runtime\index.ts                           | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\constants.ts                   | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\createWorkspaceSession.test.ts | TypeScript         |        165 |          0 |         12 |        177 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\createWorkspaceSession.ts      | TypeScript         |        150 |          0 |         37 |        187 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\index.ts                       | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-session\types.ts                       | TypeScript         |         20 |          0 |          4 |         24 |
