"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "XML", "HTML", "SCSS", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\and.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\buffer.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\index.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\lamp.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 2, 77
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\lamp\svg.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nand.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nor.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\not.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\or.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\toggle.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 2, 126
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xnor.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xor.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\types.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\types.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 20, 97
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\factory.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\index.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\resolvers.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\visual\types.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\nodeInteraction.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\index.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\edgeLifecycleCache.test.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\edgeLifecycleCache.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 9, 46
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\lifecycle\nodeLifecycleCache.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
