Date : 2026-02-12 15:14:43
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps
Total : 591 files,  -4156 codes, -201 comments, -1047 blanks, all -5404 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      1,237 |          6 |        225 |      1,468 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        120 |          0 |         28 |        148 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| Markdown           |          1 |         10 |          0 |          7 |         17 |
| XML                |          1 |          4 |          0 |          1 |          5 |
| JSON with Comments |         12 |       -131 |          0 |        -10 |       -141 |
| JSON               |         18 |       -566 |          0 |        -16 |       -582 |
| TypeScript         |        520 |     -5,039 |       -207 |     -1,306 |     -6,552 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| ..\packages\modules-runtime\src\scope-store                                                                                                    |          3 |        -22 |          0 |         -9 |        -31 |
| ..\packages\schema                                                                                                                             |         43 |       -671 |         -5 |       -175 |       -851 |
| ..\packages\schema (Files)                                                                                                                     |          2 |        -83 |          0 |         -2 |        -85 |
| ..\packages\schema\src                                                                                                                         |         41 |       -588 |         -5 |       -173 |       -766 |
| ..\packages\schema\src (Files)                                                                                                                 |          1 |         -8 |          0 |         -1 |         -9 |
| ..\packages\schema\src\item                                                                                                                    |          3 |        -69 |          0 |        -17 |        -86 |
| ..\packages\schema\src\item-args                                                                                                               |          3 |        -35 |          0 |        -15 |        -50 |
| ..\packages\schema\src\link                                                                                                                    |          2 |         -8 |          0 |         -3 |        -11 |
| ..\packages\schema\src\primitives                                                                                                              |          7 |        -83 |         -3 |        -32 |       -118 |
| ..\packages\schema\src\primitives (Files)                                                                                                      |          2 |         -7 |          0 |         -2 |         -9 |
| ..\packages\schema\src\primitives\types                                                                                                        |          5 |        -76 |         -3 |        -30 |       -109 |
| ..\packages\schema\src\scope                                                                                                                   |          3 |        -43 |          0 |        -12 |        -55 |
| ..\packages\schema\src\scope-args                                                                                                              |          3 |        -31 |          0 |        -11 |        -42 |
| ..\packages\schema\src\shared                                                                                                                  |         16 |       -271 |         -2 |        -69 |       -342 |
| ..\packages\schema\src\shared (Files)                                                                                                          |          4 |        -32 |          0 |         -9 |        -41 |
| ..\packages\schema\src\shared\item                                                                                                             |          9 |       -192 |         -2 |        -53 |       -247 |
| ..\packages\schema\src\shared\maps                                                                                                             |          3 |        -47 |          0 |         -7 |        -54 |
| ..\packages\schema\src\template                                                                                                                |          3 |        -40 |          0 |        -13 |        -53 |
| ..\packages\simulation                                                                                                                         |         66 |     -1,574 |        -20 |       -396 |     -1,990 |
| ..\packages\simulation (Files)                                                                                                                 |          4 |        -78 |          0 |         -5 |        -83 |
| ..\packages\simulation\src                                                                                                                     |         62 |     -1,496 |        -20 |       -391 |     -1,907 |
| ..\packages\simulation\src (Files)                                                                                                             |          2 |        -50 |          0 |        -13 |        -63 |
| ..\packages\simulation\src\__tests__                                                                                                           |          2 |        -33 |          0 |         -5 |        -38 |
| ..\packages\simulation\src\__tests__\features                                                                                                  |          2 |        -33 |          0 |         -5 |        -38 |
| ..\packages\simulation\src\core                                                                                                                |         37 |     -1,089 |         -8 |       -293 |     -1,390 |
| ..\packages\simulation\src\core (Files)                                                                                                        |          1 |         -5 |          0 |         -1 |         -6 |
| ..\packages\simulation\src\core\RunnerResultCollector                                                                                          |          3 |        -40 |          0 |        -11 |        -51 |
| ..\packages\simulation\src\core\RunnerStats                                                                                                    |          3 |        -38 |          0 |        -10 |        -48 |
| ..\packages\simulation\src\core\SimulationEventBus                                                                                             |          3 |        -20 |          0 |         -8 |        -28 |
| ..\packages\simulation\src\core\SimulationRunner                                                                                               |          3 |        -91 |         -3 |        -29 |       -123 |
| ..\packages\simulation\src\core\StepSimulator                                                                                                  |         24 |       -895 |         -5 |       -234 |     -1,134 |
| ..\packages\simulation\src\core\StepSimulator (Files)                                                                                          |          3 |       -171 |         -2 |        -41 |       -214 |
| ..\packages\simulation\src\core\StepSimulator\__tests__                                                                                        |          2 |       -119 |         -1 |        -28 |       -148 |
| ..\packages\simulation\src\core\StepSimulator\modules                                                                                          |         19 |       -605 |         -2 |       -165 |       -772 |
| ..\packages\simulation\src\core\StepSimulator\modules (Files)                                                                                  |          1 |         -4 |          0 |         -1 |         -5 |
| ..\packages\simulation\src\core\StepSimulator\modules\EventTimeWheel                                                                           |          3 |       -143 |         -1 |        -34 |       -178 |
| ..\packages\simulation\src\core\StepSimulator\modules\GenerationTracker                                                                        |          3 |        -33 |          0 |        -10 |        -43 |
| ..\packages\simulation\src\core\StepSimulator\modules\InOutHandlers                                                                            |          4 |        -73 |          0 |        -28 |       -101 |
| ..\packages\simulation\src\core\StepSimulator\modules\PinUpdateStore                                                                           |          3 |        -35 |          0 |        -13 |        -48 |
| ..\packages\simulation\src\core\StepSimulator\modules\__tests__                                                                                |          5 |       -317 |         -1 |        -79 |       -397 |
| ..\packages\simulation\src\helpers                                                                                                             |         14 |       -198 |         -3 |        -51 |       -252 |
| ..\packages\simulation\src\helpers (Files)                                                                                                     |          1 |         -3 |          0 |         -1 |         -4 |
| ..\packages\simulation\src\helpers\builders                                                                                                    |          5 |        -51 |          0 |        -11 |        -62 |
| ..\packages\simulation\src\helpers\circuit-resolving                                                                                           |          6 |       -116 |         -3 |        -34 |       -153 |
| ..\packages\simulation\src\helpers\math                                                                                                        |          2 |        -28 |          0 |         -5 |        -33 |
| ..\packages\simulation\src\model                                                                                                               |          7 |       -126 |         -9 |        -29 |       -164 |
| ..\packages\simulation\src\model (Files)                                                                                                       |          4 |        -75 |         -9 |        -22 |       -106 |
| ..\packages\simulation\src\model\config                                                                                                        |          3 |        -51 |          0 |         -7 |        -58 |
| ..\packages\typescript-config                                                                                                                  |          2 |        -30 |          0 |         -2 |        -32 |
| ..\packages\utils                                                                                                                              |         15 |       -269 |        -18 |        -57 |       -344 |
| ..\packages\utils (Files)                                                                                                                      |          2 |        -48 |          0 |         -2 |        -50 |
| ..\packages\utils\src                                                                                                                          |         13 |       -221 |        -18 |        -55 |       -294 |
| ..\packages\utils\src (Files)                                                                                                                  |          9 |       -139 |        -18 |        -36 |       -193 |
| ..\packages\utils\src\async                                                                                                                    |          4 |        -82 |          0 |        -19 |       -101 |
| web                                                                                                                                            |        164 |      4,095 |        305 |        891 |      5,291 |
| web (Files)                                                                                                                                    |          5 |        157 |          0 |          7 |        164 |
| web\src                                                                                                                                        |        159 |      3,938 |        305 |        884 |      5,127 |
| web\src (Files)                                                                                                                                |          4 |        180 |          2 |         34 |        216 |
| web\src\app                                                                                                                                    |          2 |         46 |          0 |         10 |         56 |
| web\src\app (Files)                                                                                                                            |          1 |         16 |          0 |          3 |         19 |
| web\src\app\providers                                                                                                                          |          1 |         30 |          0 |          7 |         37 |
| web\src\entities                                                                                                                               |         11 |        265 |        182 |        126 |        573 |
| web\src\entities\model                                                                                                                         |         11 |        265 |        182 |        126 |        573 |
| web\src\entities\model\Scope                                                                                                                   |         11 |        265 |        182 |        126 |        573 |
| web\src\entities\model\Scope (Files)                                                                                                           |          5 |        193 |        182 |         94 |        469 |
| web\src\entities\model\Scope\CircuitService                                                                                                    |          3 |         25 |          0 |         11 |         36 |
| web\src\entities\model\Scope\TabService                                                                                                        |          3 |         47 |          0 |         21 |         68 |
| web\src\features                                                                                                                               |          4 |        124 |          5 |         41 |        170 |
| web\src\features\nodes                                                                                                                         |          1 |         33 |          0 |          8 |         41 |
| web\src\features\tabs                                                                                                                          |          3 |         91 |          5 |         33 |        129 |
| web\src\processes                                                                                                                              |          2 |        151 |          0 |         38 |        189 |
| web\src\processes\workspace-sync                                                                                                               |          2 |        151 |          0 |         38 |        189 |
