"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "SCSS", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\selection.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\index.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerNodes.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerPortLayouts.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\UIEngineProvider.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\createUIEngine.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_bindings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 35
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_signals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 38
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\api.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 5, 25
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\index.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\api.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\lib\calcNodeSize.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\lib\propsBuilder.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\ports\api.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 0, 0, 0, 1, 20, 154
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\ports\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\api.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\lib.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\DOM.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\array.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\canZoom.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 2, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\directionToDegrees.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\guards.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\logic-values.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\math.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\path.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\whatButtonClicked.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\types.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\AutoWidthInput.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 9, 64
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\Container\ContainerBoundary.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\Container\ContainerContext.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ContextMenu\styles.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\EditableText.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\Container.tsx", "TypeScript JSX", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\List.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\ListScroller.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\Root.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 27, 135
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\Trigger.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\context.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\types.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\Pusher.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\RemoveButton.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ScrollButton.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
